#NAME,case1_after,case1_before,case2_after,case2_before,case3_after,case3_before,case4_after,case4_before,case5_after,case5_before,case6_after,case6_before,case7_after,case7_before,case8_after,case8_before,case9_after,case11_after,case11_before,case12_after,case12_before,case13_after,case13_before,case14_after,case14_before,case15_after,case15_before,donor_1,donor_2,donor_3,donor_4,donor_5,donor_6
K00186,565,8,453,242,540,276,902,443,175,230,61,361,190,405,441,240,1579,458,345,130,321,206,710,713,714,811,154,422,64,82,365,553,356
K01361,1,4,9,49,32,23,37,8,46,40,14,60,19,3,27,3,85,4,5,13,8,50,15,20,65,9,6,38,9,15,10,14,6
K10110,93,44,252,116,53,21,44,11,322,329,125,91,100,81,18,156,2574,4,8,18,68,227,53,38,151,53,131,130,7,32,18,39,39
K10111,277,18,554,274,540,140,208,71,608,682,349,530,585,449,286,335,4723,130,73,457,205,668,387,522,360,352,401,255,44,54,174,395,461
K10112,142,12,553,606,965,350,522,194,1353,1423,387,1836,939,950,724,205,4039,272,223,932,416,975,563,1290,850,617,453,756,58,119,320,715,924
K19265,1227,139,1233,609,1571,445,848,552,1244,1347,450,1843,1486,1269,1448,607,11553,467,525,1493,846,1418,1579,3122,1746,2135,410,1299,145,267,930,1764,1929
K19266,2,2,56,16,10,4,42,7,8,26,3,12,10,13,16,5,23,99,25,53,1,6,4,11,35,20,2,3,1,2,1,9,18
K10118,12,6,318,325,344,112,132,92,456,472,113,479,483,125,173,89,1565,100,54,423,135,507,367,443,325,259,160,254,19,39,146,294,508
K18326,256,49,550,156,36,36,46,20,901,937,270,45,135,77,267,445,4497,24,16,18,137,532,104,2,203,35,139,16,18,40,5,2,19
K18324,282,7,160,31,58,21,40,23,124,134,109,19,33,81,104,169,1520,49,67,28,61,139,202,39,120,58,53,14,8,7,13,24,43
K05844,100,12,197,62,12,1,46,25,256,260,113,1,38,25,7,156,1700,4,6,2,40,141,28,38,62,12,76,38,4,11,7,13,27
K05845,196,46,358,373,116,13,43,29,446,559,171,1218,125,1262,155,262,1920,58,46,173,99,260,76,250,294,25,152,12,9,42,7,23,8
K05846,295,64,626,605,242,47,94,43,863,1099,294,1946,222,1846,201,485,3092,82,76,316,209,507,176,733,545,53,277,30,29,61,21,23,31
K05847,148,33,348,428,120,53,78,45,527,699,118,1462,199,1403,258,221,1013,92,55,178,121,304,150,524,273,39,160,30,20,58,25,34,40
K15548,200,23,371,120,40,10,59,23,376,438,210,7,53,52,40,252,3009,10,22,5,84,367,130,36,126,76,103,33,8,9,9,26,33
K04087,126,6,277,78,31,13,57,24,293,376,162,2,49,33,22,210,2538,11,10,23,84,386,83,73,105,30,94,14,9,7,5,7,46
K04086,24,95,312,67,254,75,98,123,1371,1829,62,151,279,95,774,327,893,7,165,539,69,828,47,203,479,56,86,87,7,39,17,46,28
K04085,85,6,90,45,33,7,22,7,89,96,50,25,18,24,62,73,579,3,8,16,28,120,82,72,42,23,26,13,1,3,12,14,28
K04088,155,7,375,93,68,16,59,22,422,424,209,14,65,38,39,203,2811,9,6,39,89,382,73,42,94,37,73,24,5,7,22,9,43
K00989,219,135,343,841,388,193,309,140,797,864,201,938,807,1000,24,503,10280,274,73,564,108,1321,697,399,716,368,96,235,137,272,130,292,198
K01101,33,59,128,149,84,22,51,32,632,682,12,547,126,572,366,58,52,12,50,149,23,188,14,42,225,33,49,42,12,32,21,23,31
K00982,393,404,811,1164,393,39,157,104,1726,1872,482,88,1713,364,48,600,25843,195,49,326,231,2163,1410,91,685,400,255,139,253,598,136,486,98
K01104,214,66,259,189,301,162,287,152,1102,1140,153,401,280,418,602,216,3001,97,196,412,153,928,340,284,674,276,197,188,32,53,82,196,240
K00980,36,52,240,120,403,187,388,146,478,583,145,337,359,83,577,69,995,178,108,466,177,382,416,759,488,681,39,422,12,29,232,533,413
K00981,608,119,692,468,851,346,762,374,1668,1995,313,787,741,663,761,492,6469,278,243,851,270,1426,963,1199,924,1001,358,760,74,152,404,857,831
K05592,2197,350,2241,1391,2433,1025,2100,1237,5624,6577,803,4538,1653,3785,4042,2059,11337,881,1079,2954,1152,3746,2637,4919,3556,2989,1519,1665,151,474,1206,2552,2761
K05593,130,2,82,214,286,238,42,25,73,68,32,1505,119,49,40,164,409,76,167,89,95,63,324,89,124,40,22,26,11,31,32,47,59
K18220,10157,29,4672,3064,5289,3693,9946,4491,2918,3707,1756,9918,3523,2650,4323,1983,14165,2716,3163,5929,2804,3889,7671,10924,13701,8018,2397,4723,170,686,2223,5524,12633
K05596,117,16,245,92,38,10,28,12,258,338,117,9,42,18,21,176,2050,11,9,50,58,229,27,23,58,49,73,25,1,11,18,50,38
K05595,386,8,184,55,31,26,29,14,175,179,72,27,25,66,266,197,2050,30,77,17,105,159,312,35,174,47,111,2,2,17,5,9,25
K01297,166,11,171,71,34,43,47,19,255,281,110,25,25,40,97,207,1869,44,46,64,68,176,160,20,159,91,87,23,8,14,12,41,15
K05601,2421,42,2928,1208,5155,1579,3404,1323,3116,3928,1761,3197,4058,1537,3926,1817,16858,1684,1412,3774,1367,3361,5636,7287,4647,5013,3081,4088,187,441,2409,4465,4993
K02926,1661,246,1469,1420,3217,1386,2957,1412,3903,4608,882,2899,3179,2019,3112,1207,16054,1030,1068,3146,1016,3663,3717,5167,3218,3589,1116,2634,227,516,1621,3372,3370
K14541,2,7,7,4,51,9,11,1,42,52,10,6,24,3,1,4,43,12,4,92,2,23,11,46,9,11,3,13,2,2,7,18,24
K14540,83,55,526,508,1749,587,1294,407,1619,1921,470,1871,1473,937,970,349,2372,375,328,1610,401,1397,1084,2394,1303,1193,530,1445,85,139,699,1468,1589
K19312,369,23,113,89,174,80,208,117,72,79,20,111,127,118,322,158,1473,84,123,109,60,93,429,114,166,161,114,96,5,50,83,145,124
K00215,650,192,1399,1144,2500,919,1639,807,2962,3484,844,2553,2649,1249,1406,779,13628,915,594,2959,822,3278,2184,3665,2633,2320,838,2013,194,375,1132,2425,2692
K21090,58,5,312,107,58,21,47,19,392,389,173,22,68,43,49,132,2877,11,3,47,79,299,87,171,93,65,83,42,5,11,27,55,68
K02110,214,37,312,264,726,181,423,175,743,965,222,460,693,327,595,213,3361,158,158,672,165,825,567,926,562,643,153,675,36,62,289,706,801
K17810,114,32,303,648,316,59,123,91,2423,2806,29,1621,520,1628,1346,88,2186,82,29,335,99,344,99,121,494,134,54,46,5,29,49,133,48
K01560,34,2,91,107,156,49,67,27,66,78,71,435,126,211,54,49,318,63,36,177,47,272,121,110,146,85,45,129,10,5,45,83,153
K00219,224,49,543,163,28,31,69,21,593,622,301,124,98,93,25,372,4390,27,5,68,115,578,147,121,190,77,251,40,7,13,30,57,77
K02038,381,167,700,521,785,206,535,204,1931,2254,333,855,891,773,1099,391,6630,222,222,933,312,1501,883,858,893,555,245,523,58,141,277,544,640
K02039,107,40,409,233,332,91,262,80,511,539,247,253,342,208,115,195,3276,163,73,357,122,600,303,469,382,338,127,240,34,33,138,278,337
K04517,53,78,313,256,416,169,227,101,305,317,155,1105,604,849,257,84,950,216,148,614,194,802,323,782,696,254,209,316,25,90,180,265,519
K01745,2731,216,907,523,1214,413,1736,721,986,1104,250,387,664,954,995,1135,6498,555,963,317,505,1232,3683,486,1730,363,499,189,229,451,80,179,798
K01744,999,138,554,296,834,351,751,449,915,1095,505,724,561,465,1161,835,7356,256,316,1090,614,1419,1633,1310,845,1776,305,468,95,312,620,1189,869
K02030,14,6,124,72,250,141,219,98,495,509,116,280,245,60,294,92,528,58,56,445,98,338,282,237,203,312,142,224,15,11,134,264,303
K02031,80,58,656,558,932,320,485,189,771,981,420,1501,809,708,570,341,4063,221,81,1069,420,1170,562,1026,859,494,292,405,73,125,278,456,685
K02032,158,64,781,756,1246,350,750,244,1202,1388,461,2193,1177,891,984,514,4935,327,153,1450,538,1221,765,1329,1128,745,466,613,120,187,351,714,1132
K02033,117,31,843,626,779,362,578,187,1060,1069,337,2270,888,1015,753,386,4580,289,97,1064,511,1007,700,758,1045,526,405,446,53,131,239,450,721
K02034,114,53,735,501,735,241,479,156,592,716,315,1770,724,558,528,425,3214,222,68,790,401,831,491,1160,1018,389,383,359,80,109,222,391,618
K04518,42,38,119,113,115,55,41,48,146,172,33,418,151,402,62,30,173,60,112,265,48,456,35,101,561,72,47,22,6,33,33,52,38
K02036,1978,331,2901,2740,5200,1710,3448,1338,6568,7975,1486,5674,5445,4003,5147,1593,26400,1729,1445,6190,1724,8169,5920,6204,5333,3973,1618,3283,350,755,1794,3716,4651
K02037,663,146,936,661,940,331,677,249,1897,2262,381,965,1008,879,1233,452,8875,365,284,1106,461,1948,1362,1074,1204,727,305,535,82,188,328,676,907
K01585,4006,36,2104,475,1923,1215,2323,2025,1452,1727,752,1091,953,1043,3414,1717,8577,629,1343,1321,1438,1714,4227,5398,2427,5500,1296,2423,64,293,1875,3361,2901
K16962,6,4,38,89,153,60,54,38,135,162,49,166,138,93,185,43,528,38,37,213,36,278,121,160,148,103,24,64,6,15,44,114,126
K16961,23,15,30,43,86,26,31,6,243,188,33,112,101,122,113,20,414,15,10,113,35,189,145,48,19,103,4,64,3,5,38,52,91
K01586,2307,246,1704,1043,1687,817,1641,1073,2536,3074,414,1854,1263,2076,2259,1349,12701,896,980,1103,719,1409,2873,2966,2040,2849,725,1301,123,429,1051,2015,1321
K13498,132,8,249,64,1,5,35,31,277,359,168,2,27,30,4,176,2321,6,3,20,83,212,47,15,65,30,77,16,9,10,4,4,1
K01580,1513,156,1421,500,507,362,199,72,967,1177,298,2541,415,832,1442,779,9801,325,586,182,588,1380,1785,298,1279,370,798,49,39,206,50,174,315
K01582,503,16,1348,457,64,55,188,69,1384,1627,746,22,86,120,48,768,11083,24,21,147,306,1330,298,57,354,171,371,74,10,39,22,65,97
K13497,19,5,51,31,61,26,24,16,38,60,32,39,33,14,29,36,326,8,23,20,27,36,57,86,31,67,14,33,7,3,19,35,47
K01589,202,171,481,487,213,68,60,91,1735,1938,208,840,431,997,464,410,6197,35,99,316,160,917,241,52,411,118,156,67,44,208,25,112,22
K01588,705,131,882,674,1450,495,1132,589,1517,1832,465,1609,1255,962,1034,565,9003,624,435,1490,502,1970,1509,2098,1548,1322,547,888,85,264,623,1393,1360
K03436,62,16,97,134,194,62,123,79,325,439,70,581,291,522,278,66,587,51,47,346,59,287,317,275,221,179,38,320,5,42,91,254,275
K18138,5412,125,3842,892,1522,867,1370,732,2608,2949,1314,451,869,2223,5016,3399,26662,891,1682,955,1551,2939,6068,1450,2918,1808,1279,891,157,341,491,881,1446
K02011,2,7,22,17,102,37,117,72,16,23,7,78,40,50,8,20,36,30,25,58,59,120,44,29,25,93,27,53,9,20,20,40,38
K13653,99,2,98,165,115,66,76,17,26,20,36,964,91,524,36,162,622,81,81,14,32,98,201,206,239,25,97,122,9,10,10,40,78
K14439,17,2,9,29,54,17,41,15,98,115,19,84,24,43,35,12,115,12,9,77,17,77,33,40,34,54,11,43,11,11,19,17,75
K08348,33,9,33,28,9,8,22,12,42,55,34,36,18,27,4,27,418,7,4,3,15,43,26,2,16,9,46,7,1,1,8,9,7
K02454,253,69,735,383,1308,396,1072,343,1101,1248,465,861,883,480,285,586,8334,194,179,914,356,944,432,1467,721,1043,437,751,70,113,593,1199,1175
K02455,73,12,208,68,39,6,38,4,252,327,168,5,22,48,8,153,3992,4,3,18,141,278,45,72,60,42,95,9,2,11,10,8,35
K14170,147,20,360,168,390,110,278,101,475,578,253,201,267,91,151,244,2969,138,61,379,121,531,273,595,346,269,162,359,21,29,179,334,336
K02103,24,31,117,129,252,32,39,22,293,358,115,504,220,478,183,5,473,54,7,152,62,170,169,320,194,139,34,71,7,13,100,222,217
K03455,222,62,397,123,94,42,92,42,913,1035,243,8,82,57,296,351,3692,15,5,26,92,421,117,72,145,100,97,56,24,13,15,41,58
K06190,63,7,107,29,5,3,24,21,155,138,66,1,11,11,1,84,1040,2,5,2,28,90,19,16,30,10,31,6,4,9,6,6,12
K02108,617,179,870,541,743,279,668,379,2469,3058,324,1409,766,1363,1447,608,5374,189,339,873,399,1667,972,1204,1153,714,314,497,49,155,312,632,671
K02109,1069,158,781,623,1185,392,903,579,2285,2648,358,1210,1315,1320,1671,666,10132,312,492,1095,450,1923,1871,1739,1366,1523,394,682,92,236,522,1286,1128
K03453,146,38,103,197,462,151,290,256,432,557,228,428,587,145,119,218,3093,136,82,979,158,960,756,899,411,980,87,575,24,53,439,807,742
K03980,181,40,271,116,24,21,69,44,333,424,214,2,30,30,7,223,2573,11,12,13,81,221,35,23,88,40,96,14,25,48,13,16,24
K01639,413,6,461,153,145,58,166,174,396,443,233,140,69,200,468,155,3338,48,85,180,136,627,339,200,308,287,192,87,7,42,141,200,120
K20457,50,4,138,70,273,68,196,83,217,202,63,157,259,55,210,66,478,62,37,262,86,164,201,381,172,141,54,224,3,13,90,205,253
K01633,117,34,162,161,188,52,71,46,326,331,98,49,242,45,157,165,3332,77,95,264,73,587,227,110,287,167,74,83,15,60,41,148,53
K02058,205,4,610,222,339,92,164,57,757,887,367,245,577,224,216,241,7301,119,31,281,197,1061,774,538,304,192,155,125,44,41,110,239,189
K03856,88,1,124,141,327,100,236,113,187,229,58,376,222,198,31,111,492,118,60,371,67,277,397,576,233,367,109,225,15,35,149,269,259
K08484,222,26,520,150,4,7,41,16,572,597,312,6,35,34,16,320,4307,5,1,14,112,460,76,1,135,38,139,13,5,2,1,2,11
K03521,481,38,724,556,1416,564,1475,550,1072,1152,414,1088,1010,941,726,531,6238,482,289,1150,604,1286,2126,1589,1010,1506,374,987,88,136,673,1437,1543
K02858,295,42,438,116,264,106,316,99,391,445,132,140,171,131,262,231,2382,257,105,220,156,299,520,421,381,268,133,238,20,62,130,253,228
K03522,903,63,1047,701,2405,924,2251,979,1513,1848,609,1540,1827,1482,1277,690,8703,822,526,1705,962,1939,3432,2629,1759,2543,535,1795,172,284,1169,2346,2358
K03525,1241,39,831,1054,2847,982,1903,669,1691,1936,740,1791,2908,748,1590,915,13839,946,718,2541,824,2530,3511,4262,2245,2112,855,1962,171,293,1105,2504,3105
K03524,105,26,570,292,977,286,555,164,773,892,470,588,947,303,351,319,4086,236,114,1008,321,1099,904,1283,629,676,375,789,45,63,370,757,1102
K03527,1972,139,1213,1224,2742,1103,2561,1386,1944,2092,721,1725,2542,1047,1969,1236,18557,960,938,2502,920,2613,3701,4557,2340,3642,879,2499,229,438,1406,2952,3245
K03526,3717,185,2223,1860,5354,1980,4814,2573,3003,3600,1346,3094,4302,1925,3605,2207,29124,1765,1611,4332,1827,4635,6310,8201,4598,6771,1625,4348,445,815,2785,5360,5485
K02852,270,5,239,75,99,90,112,32,499,504,138,47,80,75,262,178,2104,60,27,44,94,243,135,180,155,260,82,56,2,27,102,160,72
K03303,175,20,76,7,61,25,33,16,175,201,15,60,105,45,213,85,268,24,29,69,12,103,201,42,120,37,21,5,7,20,7,29,51
K02851,268,32,336,200,125,51,229,89,586,698,183,76,243,121,251,345,4608,63,47,349,87,672,367,295,296,222,86,104,16,33,52,169,74
K02856,254,16,296,72,20,8,32,32,268,324,150,7,38,63,69,236,2276,23,37,11,87,238,122,95,100,179,90,30,2,11,35,58,46
K14058,512,21,553,302,1396,423,1194,469,908,1020,396,798,925,336,779,296,4479,305,322,1012,401,1011,1130,1763,961,1231,537,1125,71,93,725,1330,1605
K02854,113,6,337,83,60,19,68,25,338,329,164,163,84,47,36,198,753,28,19,113,102,288,87,120,135,118,116,89,5,10,38,75,143
K02855,146,4,301,76,171,70,85,59,280,308,208,183,107,64,252,184,438,33,45,134,103,345,143,269,187,300,128,184,6,10,91,187,133
K03671,2083,206,1286,971,2709,1022,2318,1024,2687,3369,650,2011,2225,1333,3283,1114,10025,746,949,2373,936,2849,3273,3371,2620,2318,830,1751,191,387,955,1939,2418
K03672,40,4,74,32,56,13,92,30,102,143,37,20,34,14,36,50,769,13,10,34,26,127,87,83,71,48,25,40,4,5,38,45,31
K06001,1836,36,960,576,1596,798,1873,764,601,810,215,776,1241,1066,1212,690,5308,1001,872,419,453,633,2298,2984,1387,2200,496,901,57,222,891,1480,1065
K09760,934,28,705,462,1057,444,860,487,1202,1437,349,135,755,366,571,610,8591,392,487,852,475,1766,1420,1136,1188,1307,299,901,67,149,533,899,831
K09762,187,266,1105,1193,2340,706,1642,526,3991,4699,865,3106,2854,1751,2249,499,10661,662,364,2706,601,3113,2002,3735,2367,1719,955,1555,199,391,925,2217,2384
K09765,214,18,133,34,96,37,72,50,66,70,84,25,22,60,11,46,964,40,45,71,126,76,227,101,117,119,29,69,3,8,65,93,118
K09767,111,13,208,300,67,85,113,52,280,316,118,684,129,650,10,291,2313,57,32,309,83,501,316,180,234,162,111,114,7,11,60,108,57
K02217,1253,8,340,106,203,141,319,134,292,344,123,122,105,337,781,469,5167,201,354,74,253,269,1405,263,416,284,255,27,12,81,28,69,263
K09769,85,6,118,341,328,148,193,62,93,124,29,1092,217,1030,10,110,229,95,65,237,35,66,88,401,221,262,34,314,34,49,118,235,299
K09768,131,19,433,332,1168,373,764,236,799,891,372,1102,923,648,308,291,2108,211,98,1077,316,947,510,2261,820,878,78,919,53,77,506,952,1302
K04083,371,179,1295,964,2847,901,2110,746,4441,5355,971,3460,2596,1834,2587,777,6440,729,526,2998,845,3150,1761,4258,2833,2009,851,2222,182,267,1121,2388,3085
K03458,89,18,125,79,278,108,158,84,153,212,154,249,245,65,134,59,794,80,35,307,86,375,219,212,203,258,117,366,19,25,123,279,383
K13278,543,11,237,31,176,94,174,101,134,180,32,36,62,154,566,238,1218,64,253,43,175,126,580,269,301,272,125,116,3,34,71,156,134
K00338,212,131,198,99,58,21,74,20,224,252,126,28,46,127,120,200,1659,68,47,78,81,273,198,39,237,55,86,37,67,180,8,27,71
K22024,42,31,149,214,346,68,84,44,109,136,177,482,370,225,51,209,285,99,41,511,123,311,245,191,304,257,161,238,36,84,148,266,499
K03299,618,186,1202,341,235,50,158,100,2002,2518,311,388,275,214,756,480,6915,88,110,328,161,816,526,97,573,197,264,74,15,59,60,152,187
K12308,740,160,1304,1860,2604,584,690,281,5920,6655,1566,3497,4493,304,3091,507,26027,776,271,3014,1103,4228,3286,1148,1357,2058,1351,1865,191,379,1070,2804,3731
K03293,186,141,617,405,116,8,42,44,2118,2696,168,1169,260,1257,1086,273,2886,5,7,307,151,491,64,4,184,81,82,29,12,39,3,50,8
K03292,442,134,1686,415,421,193,455,291,1234,1368,380,558,436,326,229,627,12403,174,122,536,387,1592,478,808,776,1074,619,649,28,32,454,767,644
K03296,263,10,81,57,126,53,144,43,137,141,16,86,89,109,219,85,552,39,79,199,68,98,363,148,191,111,70,71,9,31,29,72,175
K03294,163,128,505,367,291,34,67,92,2645,2963,30,692,516,697,1116,230,3725,82,24,475,55,381,274,46,156,227,44,38,10,37,58,146,73
K03072,1685,131,1265,555,1459,695,1940,993,1180,1464,622,1216,1081,855,1482,1229,9858,582,643,1497,622,1405,2518,2926,1451,2427,838,1648,103,322,954,1900,1890
K03070,7027,852,6582,6009,15353,5785,13965,6500,17839,20835,3996,11779,14287,7934,15008,4788,65774,4569,4634,13565,4727,15799,15456,20407,15136,15540,4549,11897,1126,2210,7040,14490,15493
K03077,1256,116,1753,916,1864,636,949,489,2486,2880,1005,3348,2063,2538,1796,841,9606,545,587,2057,1104,1898,2678,3518,2214,2586,936,1299,113,240,1132,2116,2466
K03076,1824,382,2299,2147,4279,1629,4002,1943,6774,7958,1192,4022,4362,2809,4423,1599,24545,1568,1421,4696,1325,6303,4497,6085,5202,4287,1467,3569,327,717,1971,4273,4266
K03075,67,8,149,74,66,12,50,15,171,209,76,144,53,121,32,93,1178,27,9,89,33,188,50,142,112,46,91,29,9,16,26,51,52
K03074,723,85,561,273,783,343,1052,556,631,811,349,705,629,442,699,559,4881,241,301,773,314,768,1374,1328,716,1116,473,904,81,170,460,947,1126
K08964,75,3,16,12,2,10,14,3,24,31,42,20,25,29,1,90,80,1,2,11,2,13,38,25,5,17,17,10,1,4,17,19,5
K03079,211,33,653,437,103,61,73,36,461,487,303,1088,388,936,73,291,6405,66,50,166,159,544,471,72,202,46,359,89,17,44,22,58,56
K03078,149,52,510,205,17,4,26,8,335,408,199,507,26,640,13,204,3207,4,24,63,117,410,65,11,113,15,103,9,22,43,2,2,5
K11654,19,5,13,12,43,10,29,17,43,40,15,50,10,2,13,7,80,2,1,28,29,60,46,46,18,44,4,34,5,4,22,25,63
K08963,609,16,801,452,830,279,823,294,543,679,363,781,392,507,229,391,4916,485,168,722,272,457,322,1506,657,563,218,367,33,54,251,525,400
K20074,84,84,406,461,947,319,712,258,1403,1552,213,1160,931,754,750,218,3719,227,196,1118,255,1548,629,1186,1070,636,232,735,72,150,343,728,864
K03274,176,18,271,136,77,36,120,54,402,417,170,100,64,74,42,435,3264,32,33,347,91,319,286,260,126,165,135,16,29,28,63,119,54
K06960,16,32,135,275,591,185,412,134,343,394,126,486,594,253,222,79,2602,135,67,417,140,492,439,655,417,380,133,472,45,60,204,451,578
K07654,6,47,38,66,92,30,85,28,137,174,31,96,186,101,18,9,1295,21,11,85,22,241,223,145,167,79,28,116,34,103,49,76,97
K03271,537,9,446,131,220,147,363,223,285,319,116,471,120,162,114,472,1898,156,166,401,104,457,708,437,377,513,247,174,25,57,75,245,362
K03273,87,19,293,84,119,62,154,80,207,227,84,312,53,140,36,256,1468,68,116,219,97,244,191,266,235,213,138,113,20,35,57,142,195
K03272,257,18,659,203,304,188,320,123,577,691,292,100,173,201,100,628,4290,113,162,637,129,684,558,383,316,572,222,189,24,89,153,305,271
K21464,27,2,3,33,25,9,107,48,62,62,3,91,23,12,12,32,446,4,5,20,8,24,11,221,77,78,23,41,2,18,17,60,39
K14210,28,1,34,17,42,20,29,18,34,48,19,120,75,11,15,16,259,19,9,33,39,34,68,59,59,21,32,53,7,3,11,22,55
K21465,17,29,47,26,59,8,63,5,493,514,10,153,82,53,247,34,69,8,10,68,2,62,18,72,93,20,14,26,7,11,8,19,10
K16179,259,2,114,92,246,86,123,52,196,184,82,214,213,130,167,123,1102,70,53,203,87,180,325,249,209,127,131,167,8,17,81,153,247
K06131,2014,326,2871,1690,4784,1881,3897,1721,7796,8837,1607,6384,4100,3993,5317,1618,14839,1159,1126,4950,1796,5632,4409,7640,5107,4397,1834,3866,303,480,1973,4134,5989
K09610,32,7,6,3,8,12,30,19,7,2,2,21,5,13,15,2,8,9,5,4,9,10,28,28,36,33,4,42,2,13,35,39,25
K03187,54,29,19,9,96,71,20,20,105,119,52,26,64,14,70,104,118,12,28,148,36,504,47,62,236,88,20,29,5,16,7,25,54
K03186,172,17,458,299,266,115,173,35,647,693,292,887,304,825,288,226,2166,182,35,261,190,546,325,122,290,104,111,106,21,15,60,129,240
K03183,1378,169,824,193,469,329,758,576,2003,2543,239,221,417,528,1958,763,5434,218,497,253,452,613,1310,1146,993,1353,417,538,60,242,441,770,540
K03182,219,22,496,184,120,37,78,21,528,583,307,73,125,227,9,442,3887,101,40,102,114,551,111,22,195,109,139,20,9,34,9,22,2
K03189,98,31,93,66,434,210,51,45,227,215,228,70,376,11,77,174,1687,54,38,457,24,1137,138,201,272,319,47,113,19,31,68,121,309
K03188,65,28,30,20,183,111,21,26,160,175,65,40,90,12,116,180,416,20,36,268,43,851,71,52,287,76,35,42,6,22,24,26,102
K20118,856,244,1784,1811,1855,626,905,359,3956,4180,1551,8422,3041,5324,2792,878,16096,676,258,3089,1199,3742,3097,7310,2482,1749,2330,1216,230,400,690,1564,2585
K07220,34,6,19,20,11,8,9,16,6,12,13,58,9,42,4,11,226,4,21,10,19,23,64,77,41,14,65,10,1,14,2,5,11
K12452,2,1,330,112,721,99,257,98,331,390,67,294,225,98,88,259,854,84,48,609,174,169,277,358,293,606,163,287,50,52,462,865,681
K09970,7,11,304,120,24,10,41,7,297,367,91,21,25,35,28,62,2451,3,3,39,55,365,72,43,105,43,96,18,1,9,4,15,28
K09971,32,28,320,118,92,47,104,26,380,442,108,158,63,121,43,82,2905,57,19,114,60,513,100,83,240,107,95,23,7,4,16,50,73
K09972,14,7,83,88,99,26,52,32,262,353,54,65,109,17,180,31,786,46,15,198,25,324,117,115,142,93,21,42,8,10,32,50,92
K06221,365,135,725,516,804,312,328,201,2587,3007,299,583,958,243,1246,452,9121,267,215,841,238,1438,1114,863,920,504,170,425,59,161,277,633,494
K06223,350,19,304,169,140,90,243,98,344,435,181,74,231,89,119,441,2248,34,82,239,79,683,493,659,194,714,104,251,14,50,208,481,227
K06222,102,61,315,92,155,85,118,53,620,784,133,146,161,77,218,198,2632,49,49,199,91,326,192,236,231,109,135,100,10,26,41,109,132
K06915,147,34,574,197,100,31,638,186,638,765,298,48,149,119,26,392,3854,223,83,38,136,524,146,903,506,145,220,73,10,36,34,76,153
K06911,680,58,578,200,145,77,84,27,550,642,315,253,262,335,407,736,5159,145,150,62,177,558,918,92,411,104,245,13,26,62,11,23,98
K06910,95,38,279,140,31,11,23,11,445,552,108,87,99,79,121,180,2846,19,8,70,67,272,63,4,101,36,74,30,9,29,11,22,6
K08744,26,3,6,22,5,3,4,3,17,31,6,66,11,80,26,10,58,3,5,10,2,8,24,3,7,4,13,6,2,10,1,8,8
K00773,1696,170,2374,2303,5324,1885,4903,2047,3345,3940,1403,4817,4487,3326,2693,1722,21118,1593,1389,5337,1507,5430,5006,7393,5217,5198,1395,4327,390,705,2293,4725,4997
K00772,1,10,158,63,71,57,164,59,73,95,14,99,61,87,21,169,432,201,58,340,32,100,215,237,105,209,32,77,14,32,40,95,66
K20203,108,3,88,128,411,143,418,162,201,193,74,253,258,107,90,41,699,100,58,358,43,347,334,668,278,460,104,443,24,30,179,368,456
K20202,757,30,611,549,1823,679,1689,728,1059,1171,395,1192,1323,496,944,543,5217,605,473,1643,548,1382,1920,2734,1477,2104,524,1410,125,217,828,1549,1834
K21303,87,10,133,81,345,148,180,123,185,186,119,309,318,179,218,41,764,91,44,228,59,231,228,401,210,285,62,240,24,36,158,354,422
K10439,142,65,536,130,219,113,158,47,576,649,264,606,141,178,81,541,3621,64,63,310,291,549,304,313,308,224,630,149,20,63,85,154,167
K06351,17,40,65,58,192,63,136,47,136,176,70,117,174,57,109,64,820,73,35,264,84,173,261,180,95,117,48,126,15,30,56,130,85
K06350,15,2,58,47,188,40,114,36,73,104,71,86,166,26,85,63,458,48,25,177,68,121,156,131,74,89,20,76,11,12,39,106,86
K07511,11,10,2,9,23,11,21,7,18,39,7,32,37,43,1,20,151,15,2,35,10,13,51,29,15,15,11,18,5,5,8,26,21
K07513,3,1,11,2,16,2,5,1,5,34,4,37,10,29,22,9,10,1,3,7,37,17,2,7,14,8,10,7,2,3,4,1,3
K07452,3,4,100,131,217,155,445,242,234,208,177,451,252,84,327,106,335,87,134,371,211,304,672,1043,618,329,31,598,28,26,108,189,578
K01912,2381,15,1281,572,1374,621,1027,357,756,1017,395,1274,1289,1281,1680,827,8066,1125,984,891,750,1037,2773,2107,2381,933,820,1298,77,214,626,1013,1193
K01910,55,14,425,101,122,55,192,95,298,328,124,13,76,21,63,97,2132,31,23,115,100,301,163,82,165,87,67,30,33,27,36,40,106
K01911,285,149,764,326,343,133,375,238,1358,1718,251,234,489,185,571,828,4993,111,114,333,159,610,367,481,607,521,173,528,80,154,226,461,616
K01916,169,206,669,519,427,159,290,167,2947,3567,175,1263,583,1326,1659,396,2920,254,243,494,199,1253,177,272,942,113,171,128,39,85,45,68,77
K01914,2311,194,1921,883,3317,1230,2797,1393,5330,6346,1109,2664,2334,915,4147,1198,12256,1136,1183,3300,1389,4077,3238,5994,3759,3861,1310,2171,166,271,1468,2895,3648
