#NAME,case1_after,case1_before,case2_after,case2_before,case3_after,case3_before,case4_after,case4_before,case5_after,case5_before,case6_after,case6_before,case7_after,case7_before,case8_after,case8_before,case9_after,case11_after,case11_before,case12_after,case12_before,case13_after,case13_before,case14_after,case14_before,case15_after,case15_before,donor_1,donor_2,donor_3,donor_4,donor_5,donor_6
K03530,465,34,563,497,1245,412,982,469,1375,1589,304,1004,1089,597,908,468,5673,338,398,1085,311,1175,1201,1739,1233,1057,406,828,81,168,431,947,1253
K03531,1443,260,1709,1788,3719,1295,3657,1617,4701,5476,946,3652,3205,2324,3128,1370,18193,1297,937,3615,905,4184,3531,5273,3673,3814,1033,3199,265,526,1638,3217,3562
K03536,390,103,703,505,951,357,687,301,2021,2358,380,1277,1198,705,1330,347,6829,302,256,1090,366,1633,1097,1781,1118,978,395,829,67,127,404,962,1208
K03534,576,2,253,173,121,42,85,50,162,213,139,785,131,667,362,324,685,61,159,174,95,219,589,264,475,143,358,88,7,22,35,71,175
K02825,112,165,284,366,593,204,391,141,2248,2642,132,900,486,929,1242,272,1527,203,170,794,66,1016,338,504,917,364,155,282,65,169,173,284,159
K02824,779,125,1220,684,1415,588,1408,596,2627,3021,503,2224,1286,1156,1885,956,5120,518,367,1836,596,1799,1432,3149,1745,1550,874,1208,69,142,606,1303,1041
K02823,444,35,653,560,1632,596,1094,459,953,952,462,1723,1409,1280,868,353,3477,562,417,1836,435,1862,1453,2423,1627,1468,484,1135,53,144,720,1382,1664
K00158,134,5,1033,277,165,25,35,135,901,906,31,1415,294,1390,977,365,810,7,161,276,102,396,162,103,1354,62,77,11,5,18,9,36,46
K18926,50,107,328,315,252,28,45,62,2089,2331,27,825,446,740,957,116,3178,36,7,221,42,304,197,27,283,63,70,69,8,43,38,116,43
K03190,119,38,20,13,111,71,29,23,171,186,64,39,55,37,105,216,249,20,42,223,43,751,58,33,369,30,67,27,10,19,13,9,24
K12261,2,45,82,35,24,23,3,2,1133,1272,19,4,151,7,341,25,1404,1,1,9,20,109,10,4,13,7,21,4,9,1,1,3,5
K18929,292,75,647,222,95,104,258,206,1936,2634,129,196,202,208,450,528,4926,62,77,157,92,556,270,469,538,359,114,125,46,116,110,215,145
K03667,375,57,769,679,168,118,726,274,1858,2123,304,1861,349,2052,1345,447,3474,178,69,751,191,758,270,83,327,381,228,201,26,97,79,209,180
K12266,2009,29,1457,449,723,378,996,583,989,1162,511,462,404,995,1522,1049,10177,404,632,271,692,1095,2294,1137,1267,1424,609,473,45,133,393,779,664
K03665,1809,167,1895,1422,3965,1275,3207,1480,4045,4615,1173,3465,3324,2357,3042,1266,17073,1163,884,3343,1199,4206,3682,5058,3277,3577,1123,2982,248,489,1793,3378,3721
K02224,605,75,829,373,1466,378,985,342,2852,3602,369,802,1004,367,459,458,3618,739,335,1277,470,1128,1130,1374,1100,1030,505,729,84,253,544,1052,1499
K02227,507,30,713,375,1590,396,902,332,1674,2145,417,965,1115,348,481,456,3461,503,319,1608,561,1235,1141,1446,1004,1068,475,714,91,144,557,1107,1651
K00563,74,12,173,124,119,36,88,36,428,452,102,274,41,256,54,155,1497,30,24,28,49,242,66,93,174,69,85,109,8,2,36,72,85
K03289,932,12,669,183,278,188,542,350,520,656,256,67,121,303,757,603,4170,145,354,58,327,582,947,577,540,802,258,269,6,64,175,373,358
K03284,402,15,394,141,252,116,227,78,496,469,179,229,137,175,259,319,3526,123,85,74,135,465,407,309,297,135,228,107,21,45,70,153,211
K03286,239,37,245,73,69,58,142,149,225,278,154,9,48,81,99,215,2880,33,66,41,78,206,134,209,165,282,105,114,7,11,66,136,151
K03281,227,41,597,189,49,28,80,20,868,935,307,195,73,131,62,393,4651,50,23,67,156,520,115,151,232,89,231,27,19,15,4,14,28
K03282,740,80,553,377,1015,437,1079,527,1789,2130,173,788,680,696,1390,581,3389,306,394,1051,354,748,1112,1734,1089,1265,233,800,79,125,553,1061,1070
K03060,82,92,308,334,516,166,312,137,1012,1249,190,708,654,409,579,157,3773,115,93,447,185,839,445,607,487,299,186,351,45,100,158,513,591
K08956,131,3,40,13,46,23,80,35,9,21,11,19,16,54,109,41,194,26,49,17,34,48,161,71,64,75,31,13,6,9,10,53,70
K11665,140,31,49,153,159,52,129,54,263,273,57,347,173,165,167,72,1255,65,63,300,88,381,220,306,158,150,82,142,26,45,74,141,142
K02341,86,23,278,180,93,45,127,76,284,285,125,545,110,518,87,139,2077,36,21,169,68,323,80,186,185,163,90,115,7,19,59,125,70
K10213,6,10,285,93,75,32,59,22,342,414,113,146,58,109,64,36,1916,16,4,78,178,284,112,134,153,62,196,57,2,15,17,27,71
K01089,1689,14,993,232,527,327,697,545,465,652,259,354,308,535,1340,685,5592,302,635,248,597,571,1747,1326,1057,1851,413,657,18,142,492,908,669
K16148,13,73,27,188,56,12,7,6,132,125,3,14,226,38,8,15,3242,18,5,57,4,190,183,26,124,66,7,27,48,124,29,69,12
K00157,2,7,55,44,80,23,56,17,71,84,55,106,126,35,58,41,430,19,6,132,68,119,106,56,60,84,73,54,8,30,49,97,132
K03087,200,26,260,104,103,62,176,87,304,348,114,23,90,86,88,217,2512,50,49,66,92,283,189,201,190,326,98,107,21,39,92,169,107
K02622,1925,241,1683,1175,2236,925,2583,1411,5346,6318,687,3675,1879,3205,3612,1430,10675,685,1088,2759,870,3945,2506,4260,3350,3072,820,1711,124,366,1085,2440,2316
K16787,611,239,2988,3370,8370,2539,5340,1920,9315,10485,2552,8852,8996,3611,6909,1551,25398,2294,1553,8513,1416,10881,7837,9533,6764,5759,2224,4483,550,977,2902,6024,7329
K16786,236,132,1336,1682,4475,1254,2847,1031,5141,5837,1068,4296,3868,2207,2911,843,11343,1252,748,4375,902,4524,2986,5791,3646,3064,1188,2811,283,398,1726,3406,4010
K16785,169,117,851,990,2796,906,1800,656,3089,3742,742,2963,2310,1544,1830,588,5480,630,441,2791,593,2765,1976,3478,2249,1930,788,1854,136,193,963,2040,2590
K17363,46,10,5,21,40,12,28,13,168,163,8,109,33,68,56,19,61,14,9,36,1,31,54,60,34,18,62,19,7,2,15,17,30
K02240,2,46,100,30,28,7,19,26,735,820,11,80,62,11,309,64,77,4,30,171,25,114,3,54,146,19,8,15,6,5,14,15,3
K16363,1496,1,481,91,395,361,714,689,183,275,89,103,159,467,1256,456,4224,263,563,150,367,323,1482,1088,806,1642,307,559,12,113,411,789,623
K19789,220,18,396,139,45,13,77,19,435,545,262,97,48,86,59,307,3487,12,18,38,105,408,69,54,169,85,128,39,5,7,16,43,55
K03367,154,225,945,544,837,246,239,204,3924,4646,191,2195,987,1983,2242,392,1313,40,352,916,161,1948,348,190,1146,161,401,291,31,105,83,130,266
K00004,3,26,32,14,74,35,14,22,94,83,48,135,110,34,119,3,326,11,21,156,67,112,133,87,83,31,25,31,3,12,27,48,69
K20108,137,13,271,481,287,172,120,172,581,666,157,1990,197,1891,247,143,839,35,328,885,343,1673,105,504,861,155,218,269,6,59,71,127,261
K12448,29,6,26,25,21,19,47,35,118,186,1,29,28,60,119,36,100,8,17,27,9,66,50,72,40,98,18,43,1,12,21,58,27
K00002,43,16,114,106,170,47,90,33,483,589,54,155,172,86,213,83,1149,75,50,251,37,317,212,309,262,141,33,162,9,28,62,114,132
K07636,2947,33,1270,420,1283,799,1324,954,1136,1302,517,1080,830,1180,2729,1211,9740,527,1082,874,1032,1246,3351,2751,1909,2638,835,1362,59,286,809,1684,1585
K07638,162,19,333,102,26,11,42,18,390,443,211,45,27,53,23,242,2877,18,5,36,100,314,78,36,120,86,100,13,3,2,48,63,8
K03366,69,134,170,11,164,27,41,26,1005,1270,54,53,166,50,264,120,145,6,56,181,30,381,23,24,418,23,50,13,5,38,10,7,19
K07259,286,10,351,110,18,19,88,82,449,456,203,8,32,38,88,302,3249,8,25,21,97,383,176,83,176,149,119,82,3,12,60,73,54
K11069,127,17,313,173,221,67,172,97,763,870,199,318,159,182,166,235,2364,63,51,339,156,512,191,278,282,177,140,120,11,33,82,121,191
K11068,240,21,318,222,260,99,172,67,692,770,174,445,326,378,307,190,2609,109,96,280,90,513,397,396,397,269,200,248,12,32,102,190,259
K08325,546,14,275,89,100,42,65,23,291,332,137,75,127,209,193,451,3314,82,103,56,90,334,441,202,257,60,101,20,20,31,18,41,121
K11065,787,89,355,129,259,206,122,77,402,469,139,211,145,308,684,490,2958,156,326,266,244,677,795,219,656,121,175,45,38,175,21,50,137
K06901,781,230,2932,1661,2835,796,2572,1310,8033,8798,1423,4212,2752,2755,3960,1625,22377,732,473,2617,1277,5031,2272,4062,2952,3218,1086,2401,168,282,1478,2896,2614
K11537,200,1,260,83,72,70,107,62,205,264,63,21,36,108,230,116,1475,29,89,9,87,205,274,121,161,193,102,63,7,28,44,80,61
K11531,121,6,9,14,32,7,25,5,251,295,82,42,49,97,6,193,1979,14,1,19,9,130,69,19,66,20,88,16,6,4,15,11,45
K11539,59,14,45,51,80,15,26,25,477,550,17,136,52,125,79,53,134,11,17,35,25,28,31,56,25,26,24,33,2,10,19,25,27
K11085,2747,379,5700,7182,16352,4421,10329,3716,12838,14704,5669,19489,18066,9198,9797,4228,58650,4838,2986,12692,2964,17692,16493,19926,11645,11213,6109,9410,1238,1850,6073,11925,17139
K00763,772,365,1990,1336,3193,987,2070,878,15598,16849,1114,3839,3208,2318,4967,1159,12357,807,709,3396,885,4157,2654,3773,3201,1790,1091,2027,221,405,986,2041,2643
K00760,562,111,849,1067,2363,780,1722,744,3343,4127,631,2064,2162,1305,1944,661,8870,659,536,2438,495,2911,2079,3081,2315,1958,642,1690,142,298,879,1889,1874
K00761,1175,228,1633,1669,3594,1200,2841,1265,4018,4680,878,2947,3093,1799,2641,1116,16316,1231,989,3625,873,4367,3615,5245,3415,3324,1017,2637,282,520,1584,3145,3416
